Max,Min,WL,Mean,RMS,Var,WAMP,SSC,Log,MaxF,MinF,WLF,MeanF,RMSF,VarF,WAMPF,SSCF,LogF,class
353,4,1474,196.16,44085.64,5663.531,0,28,9.884101,5218.5786,8.207143,24344.379,276.59265,364442.8,290847.75,2,84,10.227716,1
272,3,1329,158.59,29460.47,4353.213,0,31,9.671493,6364.1216,5.0273848,23125.8,256.79538,503750.62,442229.06,3,80,10.15345,1
322,2,1541,198.83,44199.41,4713.173,0,35,9.89762,4995.836,7.578271,25699.639,282.54642,348211.1,271089.5,3,85,10.249013,1
318,2,1352,182.43,38074.87,4842.5913,0,27,9.811537,4073.0378,6.6926594,22326.004,249.52002,239578.05,179108.89,1,88,10.124709,1
246,2,1188,134.24,20454.22,2458.4265,0,30,9.5048,4518.527,3.9935033,18445.936,205.4693,261722.28,221721.88,3,79,9.930467,1
264,1,1264,138.7,22866.18,3665.1409,0,21,9.537483,4423.065,5.373032,18446.502,199.93532,255170.38,217369.94,3,78,9.903164,1
257,2,1294,156.99,28308.65,3699.788,0,36,9.661352,4900.374,5.3415904,19817.557,228.31844,306085.94,256521.81,1,81,10.035912,1
263,3,1277,153.04,26075.34,2680.9077,0,36,9.63587,4136.6787,5.0902324,19474.055,221.01382,232871.52,185883.23,1,86,10.003395,1
251,1,1099,144.46,24404,3571.018,0,25,9.578173,3850.2935,5.219887,17679.957,198.66785,197910.22,160041.72,2,79,9.896805,1
227,1,1214,151.44,25131.22,2219.3408,0,36,9.62536,4359.423,5.624369,20792.066,223.54309,252543.52,204618.19,1,82,10.014774,1
236,1,1354,133.31,19658.31,1905.8124,0,34,9.497848,3468.4468,4.7481914,18431.695,195.55887,172638.6,135752.88,3,82,9.881032,1
210,1,1263,121.08,16788.22,2149.3474,0,37,9.401622,3436.6252,5.314197,16934.4,178.3438,160483.92,129977.2,3,81,9.788883,1
234,1,1324,141.25,22978.81,3057.8257,0,35,9.555701,5186.758,6.6662936,20250.363,215.89732,333191.72,289474.8,1,80,9.979973,1
234,7,1447,153.39,25516.23,2007.8158,0,47,9.638154,4518.527,5.5300894,21018.027,235.00812,273410.2,220385.23,1,82,10.064791,1
167,3,880,96.06,11210.38,2002.8851,0,28,9.170143,4295.782,2.7671392,15429.936,164.68254,223084.31,197943.44,1,68,9.709189,1
138,3,922,87.49,8670.43,1026.1919,0,29,9.0766945,2704.7522,2.7022133,11586.957,131.25867,91103.04,74620.4,1,78,9.48234,1
170,1,841,100.12,12345.78,2345.218,0,30,9.211539,3372.9844,4.5560594,15212.444,156.76651,158657.2,135435.81,3,71,9.659927,1
187,1,1020,116.8,15717.7,2096.4255,0,35,9.365633,4041.2168,4.9331074,17838.154,188.01114,219576.6,186089.31,3,79,9.841671,1
168,2,965,101.64,12253.58,1942.3129,0,34,9.226607,3723.0112,4.053312,14565.163,155.43121,170652.77,147973.64,1,74,9.651374,1
144,2,1025,87.62,8983.34,1319.2687,0,39,9.078179,2450.187,3.5532796,12313.506,130.86955,84396.86,67949.51,3,76,9.479371,1
175,10,1032,111.86,14224.9,1729.536,0,32,9.322418,3372.9844,4.3708296,14967.853,167.90306,148050.55,121069.8,1,77,9.728557,1
109,14,845,65.05,4619.89,392.31046,0,35,8.780327,1813.7745,2.7336428,9725.09,107.87506,53470.42,42255.95,3,75,9.286144,1
226,1,1167,130.44,19925.44,2940.2498,0,31,9.476084,3882.1138,6.347083,18398.139,191.62749,205698.92,170684.69,3,82,9.8607235,1
264,2,1092,159.06,29199.4,3938.7034,0,25,9.674452,5091.297,6.9179296,22075.367,237.05215,335645.53,282274.53,3,81,10.07345,1
258,1,1206,151.85,27351.43,4336.3735,0,25,9.628063,4613.988,7.16399,20063.125,214.82755,267612.53,223698.67,1,82,9.975006,1
240,8,1056,137.02,21733.58,2988.9895,0,24,9.525297,2927.496,5.4399586,17042.986,189.63336,130688.05,95684.07,1,82,9.850263,1
193,5,1057,128.61,18702.51,2183.8164,0,29,9.461955,5154.939,5.310213,20411.96,215.01965,334185.38,290860.56,1,77,9.9759,1
236,16,1340,130.03,19302.51,2418.8982,0,41,9.472936,3500.2678,4.2135973,17641.584,200.97867,178963.14,139970.4,1,79,9.908369,1
177,1,1051,116.9,15277.7,1628.3727,0,31,9.366489,3118.4202,4.3393936,15677.22,170.99164,137544.61,109400.48,3,81,9.746785,1
190,5,1021,119.5,16610.38,2353.6667,0,30,9.388487,4104.858,5.1569214,17416.21,187.55713,222856.52,189574.58,3,78,9.839253,1
176,2,1175,117.43,14971.49,1193.6217,0,38,9.371013,3723.0112,3.8019931,16534.96,179.43416,176737.4,146000.8,1,80,9.794978,1
168,2,1057,110.22,13694.42,1561.5874,0,31,9.307649,3022.9575,4.000005,14195.758,159.94043,126977.89,102421.17,3,78,9.679972,1
158,1,1098,99.97,11677.01,1700.0096,0,29,9.21004,3277.5225,4.000005,14757.953,154.41455,150996.42,128436.94,3,76,9.644811,1
196,1,1119,120.46,16096.98,1602.3922,0,35,9.396488,3182.0608,4.68527,15862.338,174.78098,139764.8,110319.59,3,82,9.768703,1
212,9,1273,129.67,18893.35,2100.0413,0,38,9.470163,5345.8623,4.1790323,21158.973,223.77364,360168.3,313225.97,1,78,10.015805,1
185,4,1094,126.93,17169.65,1069.1165,0,26,9.448806,4391.244,4.1822014,19196.871,205.55621,245083.2,204878.61,1,82,9.93089,1
260,1,1391,168.99,31338.15,2808.6162,0,38,9.73501,6236.8403,6.3156586,23993.488,263.7656,471099.2,405582.72,1,81,10.180231,1
226,8,1273,148.43,24136.15,2125.9448,0,33,9.605284,5314.0415,6.00142,22463.465,241.07108,356411.53,301309.3,1,80,10.090262,1
230,14,1192,137.84,21898.52,2927.9336,0,28,9.531263,4359.423,4.304691,21317.088,229.09625,280408.25,230225.42,3,80,10.039312,1
200,2,1043,134.35,19589.39,1555.0168,1,31,9.505618,3786.6516,4.6189,18926.158,204.95428,202278.81,161891.47,3,80,9.927958,1
198,1,1162,118.61,15925.99,1876.4222,0,33,9.381011,4677.6294,4.9682765,18200.258,191.4642,271128.75,236838.58,1,76,9.859871,1
